Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Manipulation: 
161,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 33,uhywuc,38,How confident are you in your prediction (1-5),response,value,3,,,Rating Scale,4,object-404,
162,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 33,uhywuc,38,How confident are you in your prediction (1-5),response,quantised,3,,,Rating Scale,4,object-404,
163,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 46,il85y4,39,Predict the midpoint of the next candlestick,response,value,99,,,Prediction,3,object-418,
164,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 46,il85y4,39,How confident are you in your prediction (1-5),response,value,3,,,Rating Scale,4,object-419,
165,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 46,il85y4,39,How confident are you in your prediction (1-5),response,quantised,3,,,Rating Scale,4,object-419,
166,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 17,u7hto3,40,Predict the midpoint of the next candlestick,response,value,99,,,Prediction,3,object-433,
167,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 17,u7hto3,40,How confident are you in your prediction (1-5),response,value,4,,,Rating Scale,4,object-434,
168,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 17,u7hto3,40,How confident are you in your prediction (1-5),response,quantised,4,,,Rating Scale,4,object-434,
169,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 49,8vkhkc,41,Predict the midpoint of the next candlestick,response,value,104,,,Prediction,3,object-383,
170,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 49,8vkhkc,41,How confident are you in your prediction (1-5),response,value,3,,,Rating Scale,4,object-384,
171,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 49,8vkhkc,41,How confident are you in your prediction (1-5),response,quantised,3,,,Rating Scale,4,object-384,
172,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 34,a8hg4i,42,Predict the midpoint of the next candlestick,response,value,97,,,Prediction,3,object-388,
173,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 34,a8hg4i,42,How confident are you in your prediction (1-5),response,value,3,,,Rating Scale,4,object-389,
174,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 34,a8hg4i,42,How confident are you in your prediction (1-5),response,quantised,3,,,Rating Scale,4,object-389,
175,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 8,7rd4ge,43,Predict the midpoint of the next candlestick,response,value,114,,,Prediction,3,object-22223,
176,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 8,7rd4ge,43,How confident are you in your prediction (1-5),response,value,4,,,Rating Scale,4,object-22224,
177,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 8,7rd4ge,43,How confident are you in your prediction (1-5),response,quantised,4,,,Rating Scale,4,object-22224,
178,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 20,dthyg7,44,Predict the midpoint of the next candlestick,response,value,115,,,Prediction,3,object-368,
179,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 20,dthyg7,44,How confident are you in your prediction (1-5),response,value,4,,,Rating Scale,4,object-369,
180,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 20,dthyg7,44,How confident are you in your prediction (1-5),response,quantised,4,,,Rating Scale,4,object-369,
181,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 7,j84ty6,45,Predict the midpoint of the next candlestick,response,value,104,,,Prediction,3,object-21718,
182,1.73494E+12,23.12.2024 8:26,1.73495E+12,2,23.12.2024 12:26,195331,10,questionnaire-4l74,,42174360,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 2: Investment game clean,4,,Page 7,j84ty6,45,How confident are you in your prediction (1-5),response,value,3,,,Rating Scale,4,object-21719,
